Time,Anomaly (deg C),Ensemble standard deviation (1 sigma),Coverage uncertainty (1 sigma),Total uncertainty (1 sigma)
1861-11,-0.45758948,0.08786638,0.08951858,0.12543555
1861-12,-0.35085425,0.093049,0.13395356,0.16310018
1862-01,-0.82483715,0.088006,0.13457341,0.1607951
1862-02,-0.7155356,0.088476844,0.16840054,0.19022854
1862-03,-0.5353963,0.08311546,0.17623563,0.19485167
1862-04,-0.52208453,0.08561439,0.12926473,0.15504578
1862-05,-0.3478659,0.08681954,0.12203375,0.14976604
1862-06,-0.3066114,0.08315237,0.09495976,0.12622073
1862-07,-0.3448706,0.076636136,0.09618844,0.12298501
1862-08,-0.4561808,0.08319264,0.10804615,0.13636343
1862-09,-0.3624242,0.07955018,0.082826875,0.11484129
1862-10,-0.44867027,0.08373574,0.071233355,0.10993573
1862-11,-0.6777555,0.093844265,0.09102522,0.13073766
1862-12,-0.8945406,0.08689611,0.13450651,0.1601341
1863-01,-0.07634223,0.08949752,0.13935903,0.1656223
1863-02,-0.24953309,0.08752881,0.19258067,0.21153867
1863-03,-0.3549987,0.08932991,0.16024731,0.18346398
1863-04,-0.28827205,0.087496914,0.13145162,0.15790896
1863-05,-0.3840041,0.08527584,0.11650861,0.14438222
1863-06,-0.36912903,0.07854959,0.10873759,0.13414134
1863-07,-0.3123347,0.087661855,0.11436933,0.14410047
1863-08,-0.29738235,0.084486164,0.11381094,0.14174217
1863-09,-0.35204113,0.08933396,0.10315001,0.13645688
1863-10,-0.5043272,0.08865211,0.08326115,0.12162079
1863-11,-0.44055805,0.09084653,0.08866342,0.12694208
1863-12,-0.50319576,0.0981188,0.12698995,0.16047972
1864-01,-0.8532364,0.0931455,0.15838024,0.18373999
1864-02,-0.5934415,0.09413868,0.20045531,0.22145975
1864-03,-0.49939686,0.08447048,0.17589454,0.19512598
1864-04,-0.54358864,0.08640947,0.14397521,0.16791503
1864-05,-0.32347065,0.082216844,0.13416958,0.15735655
1864-06,-0.11254485,0.082870826,0.11133688,0.13879292
1864-07,-0.25960582,0.08661751,0.10773758,0.13823885
1864-08,-0.3079488,0.09100102,0.10476679,0.13877055
1864-09,-0.4425317,0.083727285,0.09901454,0.12966934
1864-10,-0.6029094,0.08815766,0.07182388,0.11371211
1864-11,-0.45623875,0.08641011,0.09583633,0.12903994
1864-12,-0.5903272,0.0922973,0.142648,0.16990364
1865-01,-0.17609702,0.082217574,0.14221609,0.16427156
1865-02,-0.46668038,0.08807331,0.21717574,0.23435488
1865-03,-0.66122115,0.088152476,0.19946563,0.21807659
1865-04,-0.4481533,0.0834626,0.14637241,0.16849597
1865-05,-0.37767282,0.08331161,0.12894611,0.15351848
1865-06,-0.1958778,0.07957196,0.10409294,0.13102303
1865-07,-0.21560228,0.087794624,0.11038799,0.14104398
1865-08,-0.21177977,0.08298163,0.10718944,0.13555636
1865-09,-0.17093047,0.08874061,0.10083448,0.13432233
1865-10,-0.26942545,0.09106711,0.08632785,0.12548193
1865-11,-0.33705235,0.093980595,0.09326878,0.13240626
1865-12,-0.4605614,0.09480996,0.14275786,0.1713731
1866-01,-0.1320992,0.08317475,0.15302698,0.1741703
1866-02,-0.40108874,0.079304405,0.1754873,0.1925746
1866-03,-0.6821522,0.08545111,0.17908254,0.19842492
1866-04,-0.4543501,0.08191463,0.14257963,0.16443527
1866-05,-0.5719213,0.0784432,0.13593298,0.15694302
1866-06,-0.0985114,0.07740595,0.1081644,0.13300835
1866-07,-0.00851037,0.07684846,0.10301324,0.12852009
1866-08,-0.2494715,0.07257108,0.10499492,0.12763423
1866-09,-0.37775257,0.07964389,0.09827934,0.12649892
1866-10,-0.4206272,0.078553624,0.07105366,0.10592117
1866-11,-0.29829076,0.08265517,0.08385341,0.11774239
1866-12,-0.40035242,0.0897398,0.124550894,0.15351273
1867-01,-0.40518752,0.09311315,0.1461793,0.17331603
1867-02,-0.3535976,0.09357753,0.1967759,0.21789333
1867-03,-0.6812089,0.08765354,0.17104067,0.19219275
1867-04,-0.4213023,0.088915795,0.13661319,0.16300055
1867-05,-0.57436174,0.092718005,0.13250147,0.16171972
1867-06,-0.35023195,0.093560226,0.10805083,0.1429283
1867-07,-0.25301105,0.084881335,0.10544059,0.13536085
1867-08,-0.33047715,0.09009982,0.11047357,0.14255662
1867-09,-0.14789358,0.0895444,0.096812785,0.13187462
1867-10,-0.12525536,0.08899232,0.07763549,0.118097
1867-11,-0.19566038,0.08738105,0.08635774,0.12285401
1867-12,-0.44537255,0.08231119,0.117332235,0.14332476
1868-01,-0.6848776,0.103804715,0.15119347,0.18339816
1868-02,-0.69327545,0.093491726,0.19888842,0.21976648
1868-03,-0.33465612,0.08456888,0.18161924,0.20034333
1868-04,-0.36299402,0.08890064,0.12593757,0.15415445
1868-05,-0.28559557,0.08889837,0.12603731,0.15423465
1868-06,-0.29764694,0.07962674,0.101052076,0.12865435
1868-07,-0.059621982,0.08322793,0.09090924,0.123253316
1868-08,-0.1932709,0.08320013,0.10565693,0.13448289
1868-09,-0.34477365,0.07349348,0.07961874,0.10835329
1868-10,-0.22966905,0.078937605,0.061818764,0.10026318
1868-11,-0.42318085,0.086917065,0.09058328,0.12553847
1868-12,-0.31396636,0.0777198,0.10621402,0.13161226
1869-01,-0.33569098,0.08817304,0.121372335,0.1500191
1869-02,0.13131645,0.08868639,0.14289108,0.1681759
1869-03,-0.6257712,0.08215568,0.14694084,0.16834836
1869-04,-0.40569928,0.08763224,0.12534441,0.15293995
1869-05,-0.3099707,0.08035654,0.105895415,0.13293236
1869-06,-0.38451383,0.08747407,0.1011073,0.13369517
1869-07,-0.41707024,0.08653487,0.09092436,0.125521
1869-08,-0.16793925,0.0774526,0.10483308,0.1303414
1869-09,-0.17162752,0.07793392,0.07237473,0.10635693
1869-10,-0.2934824,0.06681178,0.054318383,0.08610634
1869-11,-0.2818132,0.070012204,0.06942004,0.098594375
1869-12,-0.5365831,0.08065731,0.09675241,0.12596281
1870-01,-0.21106681,0.07316552,0.08833804,0.114703104
1870-02,-0.4544139,0.06735208,0.09865151,0.1194505
1870-03,-0.4983347,0.072422326,0.11162036,0.13305674
1870-04,-0.33294073,0.07816686,0.0876132,0.117414355
1870-05,-0.2977442,0.0776164,0.096322685,0.12370273
1870-06,-0.23123583,0.06978741,0.09158373,0.11514279
1870-07,-0.073357955,0.07484977,0.079613216,0.10927375
1870-08,-0.2582274,0.07330542,0.10518399,0.12820825
1870-09,-0.2023172,0.0703522,0.081675254,0.1077974
1870-10,-0.44285795,0.081403494,0.07052784,0.10770657
1870-11,-0.2658218,0.07292389,0.08760456,0.11398444
1870-12,-0.6663718,0.086368926,0.10857486,0.13873748
1871-01,-0.55831134,0.08124286,0.10959847,0.13642664
1871-02,-0.6715548,0.082622446,0.122861125,0.14805852
1871-03,-0.17169894,0.08097503,0.13446976,0.15696838
1871-04,-0.22192766,0.075775534,0.09145138,0.118765675
1871-05,-0.3622017,0.07683516,0.10099244,0.12689805
1871-06,-0.2864155,0.074729085,0.09466943,0.12060986
1871-07,-0.082433164,0.07548977,0.08446797,0.11328523
1871-08,-0.32236677,0.07051681,0.09026484,0.114544146
1871-09,-0.36107233,0.06855228,0.078450635,0.10418213
